,2018-05-13,2018-05-06,2018-04-29,2018-04-22,2018-04-15,2018-04-08,2018-04-01,2018-03-25,2018-03-18,2018-03-11,2018-03-04,2018-02-25,2018-02-18,2018-02-11,2018-02-04,2018-01-28,2018-01-21,2018-01-14,2018-01-07,2017-12-31,2017-12-24,2017-12-17,2017-12-10,2017-12-03,2017-11-26,2017-11-19
ddimensional,15.0,15.0,15.0,15.0,17.0,17.0,17.0,17.0,16.0,15.0,15.0,15.0,15.0,14.0,14.0,14.0,14.0,14.0,12.0,12.0,12.0,13.0,10.0,8.0,7.0,7.0
selfgravitating,9.0,9.0,9.0,9.0,11.0,12.0,13.0,13.0,13.0,12.0,12.0,12.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,10.0,10.0,8.0,7.0,7.0
cardy,8.0,8.0,9.0,8.0,8.0,8.0,8.0,8.0,7.0,9.0,9.0,9.0,9.0,9.0,8.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,8.0,7.0,7.0
wallcrossing,5.0,8.0,8.0,9.0,8.0,8.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,10.0,8.0,7.0,7.0
solitonic,10.0,10.0,10.0,11.0,12.0,14.0,14.0,14.0,14.0,12.0,11.0,12.0,12.0,13.0,12.0,12.0,11.0,11.0,11.0,11.0,10.0,10.0,9.0,8.0,7.0,7.0
largest,15.0,15.0,14.0,12.0,12.0,12.0,13.0,11.0,8.0,7.0,7.0,8.0,8.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,7.0
einsteingaussbonnet,7.0,6.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,6.0,5.0,5.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0,8.0,7.0,7.0
gaiotto,4.0,4.0,5.0,6.0,6.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,7.0,7.0,8.0,8.0,8.0,7.0,8.0,8.0,7.0,7.0
wavelengths,10.0,11.0,12.0,11.0,12.0,12.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,11.0,11.0,11.0,11.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,7.0,7.0
shortrange,8.0,9.0,8.0,8.0,8.0,8.0,7.0,7.0,7.0,6.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,9.0,8.0,8.0,7.0,7.0,8.0,7.0,7.0
dysonschwinger,5.0,5.0,5.0,5.0,6.0,5.0,5.0,4.0,4.0,5.0,3.0,4.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,8.0,7.0,7.0
syklike,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,4.0,6.0,6.0,6.0,7.0,8.0,7.0,7.0
wgc,17.0,14.0,12.0,12.0,11.0,11.0,11.0,11.0,9.0,9.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,7.0,7.0,7.0
raritaschwinger,13.0,13.0,14.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,11.0,11.0,11.0,15.0,13.0,13.0,12.0,12.0,12.0,12.0,12.0,10.0,10.0,7.0,7.0,7.0
bulkboundary,5.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,8.0,10.0,8.0,8.0,8.0,8.0,8.0,7.0,7.0,7.0
benchmark,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,7.0,7.0,8.0,10.0,10.0,9.0,9.0,8.0,7.0,6.0,7.0,7.0,8.0,8.0,8.0,7.0,7.0,7.0
particlehole,5.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,8.0,8.0,8.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,8.0,7.0,7.0,7.0
noninteracting,16.0,16.0,16.0,17.0,17.0,17.0,17.0,16.0,16.0,16.0,14.0,11.0,12.0,11.0,10.0,9.0,10.0,11.0,11.0,11.0,10.0,8.0,7.0,7.0,7.0,7.0
supertranslation,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,9.0,9.0,9.0,12.0,12.0,11.0,11.0,11.0,12.0,12.0,8.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0
propto,4.0,4.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,3.0,6.0,6.0,6.0,7.0,7.0,8.0,8.0,7.0,7.0,7.0,7.0
focussing,6.0,6.0,7.0,7.0,7.0,7.0,7.0,9.0,8.0,9.0,10.0,9.0,9.0,8.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,7.0,7.0,7.0,7.0
myersperry,5.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,9.0,9.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,8.0,7.0,7.0,7.0,7.0
nonhermitian,19.0,17.0,16.0,16.0,15.0,16.0,17.0,17.0,17.0,16.0,16.0,16.0,16.0,16.0,16.0,17.0,17.0,17.0,17.0,16.0,16.0,7.0,7.0,7.0,7.0,7.0
selfaccelerating,8.0,10.0,10.0,6.0,6.0,6.0,4.0,4.0,4.0,4.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0,7.0
mathbf,13.0,13.0,13.0,13.0,15.0,7.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
int,6.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,6.0,8.0,8.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
noboundary,4.0,4.0,4.0,4.0,4.0,5.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
osp,3.0,4.0,4.0,4.0,4.0,4.0,5.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0
ultrarelativistic,5.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,7.0,7.0,7.0,6.0,5.0,5.0,5.0,4.0,4.0,4.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0
adm,4.0,4.0,4.0,5.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0,7.0,6.0,7.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,6.0,7.0,7.0,7.0
laplace,7.0,7.0,8.0,8.0,8.0,8.0,8.0,7.0,7.0,5.0,5.0,7.0,6.0,6.0,6.0,8.0,8.0,9.0,9.0,8.0,7.0,6.0,6.0,7.0,7.0,7.0
rmt,13.0,13.0,9.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0
carroll,4.0,4.0,8.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0
mssm,12.0,12.0,11.0,9.0,7.0,8.0,9.0,9.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,10.0,10.0,10.0,10.0,9.0,6.0,7.0,7.0
decoupled,15.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,11.0,12.0,11.0,10.0,10.0,10.0,10.0,10.0,12.0,12.0,12.0,12.0,12.0,10.0,7.0,6.0,7.0,7.0
threeloop,16.0,16.0,16.0,11.0,11.0,13.0,12.0,12.0,11.0,10.0,10.0,10.0,9.0,9.0,8.0,8.0,10.0,10.0,9.0,10.0,10.0,9.0,7.0,6.0,7.0,7.0
postinflationary,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0
combinatorics,6.0,6.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,6.0,6.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,5.0,6.0,6.0,6.0,7.0,7.0
vevs,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,7.0
reissnernordstr,6.0,6.0,6.0,4.0,4.0,4.0,4.0,5.0,5.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,9.0,8.0,6.0,7.0
singletrace,7.0,7.0,7.0,5.0,7.0,5.0,5.0,6.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,6.0,6.0,6.0,7.0
approx,11.0,11.0,11.0,10.0,9.0,9.0,10.0,10.0,10.0,11.0,11.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,7.0,7.0,7.0,6.0,6.0,6.0,7.0
rescaled,8.0,8.0,8.0,6.0,7.0,7.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,10.0,6.0,6.0,6.0,6.0,7.0
teleportation,7.0,7.0,5.0,5.0,5.0,5.0,3.0,2.0,2.0,2.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0
equaltime,4.0,5.0,5.0,5.0,5.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0
strongfield,5.0,5.0,7.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,7.0,7.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,7.0
equiv,4.0,4.0,4.0,4.0,5.0,4.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,4.0,5.0,5.0,5.0,5.0,6.0,6.0,7.0
rightarrow,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,5.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,5.0,7.0
schwarzschildde,7.0,9.0,9.0,8.0,8.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,5.0,5.0,4.0,5.0,5.0,7.0
fracton,16.0,16.0,16.0,16.0,16.0,16.0,16.0,7.0,7.0,7.0,7.0,4.0,4.0,6.0,6.0,6.0,6.0,6.0,8.0,8.0,8.0,4.0,4.0,4.0,4.0,7.0
zeromode,9.0,8.0,8.0,8.0,8.0,7.0,7.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,7.0,7.0,7.0,8.0,7.0,7.0,9.0,9.0,9.0,6.0
tensorial,14.0,14.0,12.0,14.0,14.0,14.0,13.0,12.0,13.0,12.0,10.0,10.0,10.0,12.0,12.0,12.0,12.0,10.0,10.0,10.0,10.0,10.0,9.0,9.0,8.0,6.0
glsm,5.0,5.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,9.0,9.0,8.0,8.0,6.0
nohair,14.0,15.0,16.0,15.0,15.0,14.0,12.0,11.0,11.0,12.0,12.0,12.0,12.0,12.0,11.0,10.0,10.0,10.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,6.0
subplanckian,5.0,5.0,6.0,6.0,6.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,7.0,8.0,6.0
outofequilibrium,6.0,6.0,6.0,6.0,8.0,9.0,9.0,9.0,9.0,9.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,7.0,7.0,7.0,8.0,6.0
hawkingpage,6.0,7.0,7.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,8.0,9.0,9.0,7.0,7.0,7.0,7.0,8.0,6.0
orientifolds,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,6.0,9.0,9.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,8.0,8.0,8.0,7.0,6.0
doublecopy,7.0,7.0,7.0,8.0,8.0,8.0,8.0,7.0,7.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,8.0,7.0,7.0,8.0,7.0,6.0
cohomological,10.0,10.0,10.0,11.0,12.0,12.0,12.0,12.0,12.0,12.0,13.0,13.0,13.0,12.0,12.0,11.0,11.0,9.0,8.0,8.0,8.0,8.0,8.0,7.0,7.0,6.0
regularisation,6.0,6.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,7.0,7.0,7.0,6.0
falloff,6.0,6.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,6.0,6.0,7.0,5.0,5.0,5.0,5.0,5.0,7.0,7.0,7.0,7.0,6.0
timedependence,10.0,10.0,10.0,8.0,8.0,8.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,7.0,7.0,6.0
multiparticle,9.0,9.0,9.0,9.0,7.0,7.0,8.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,4.0,4.0,5.0,6.0,7.0,6.0
skyrmion,16.0,16.0,16.0,16.0,15.0,15.0,15.0,18.0,17.0,14.0,14.0,14.0,13.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,5.0,5.0,7.0,6.0
antidesitter,6.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,10.0,6.0,6.0
rt,14.0,14.0,14.0,14.0,14.0,14.0,17.0,17.0,16.0,15.0,11.0,11.0,11.0,11.0,11.0,11.0,9.0,9.0,9.0,9.0,8.0,8.0,8.0,8.0,6.0,6.0
mond,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,6.0,6.0
legendre,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,6.0,6.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,7.0,6.0,6.0
uvir,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,6.0,7.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,8.0,8.0,8.0,8.0,7.0,6.0,6.0
langevin,9.0,9.0,9.0,9.0,8.0,8.0,8.0,8.0,7.0,8.0,7.0,5.0,5.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,9.0,7.0,7.0,7.0,6.0,6.0
munu,6.0,6.0,6.0,6.0,4.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,6.0,6.0
realtime,7.0,8.0,8.0,8.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,9.0,8.0,8.0,9.0,9.0,8.0,8.0,8.0,6.0,6.0,7.0,7.0,6.0,6.0
tachyons,5.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,5.0,5.0,6.0,6.0,6.0,7.0,7.0,6.0,6.0
leeyang,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,6.0,6.0,6.0,6.0,7.0,8.0,6.0,6.0,6.0
longlived,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,7.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,8.0,6.0,6.0,6.0
shiftsymmetric,5.0,6.0,6.0,6.0,6.0,8.0,8.0,8.0,8.0,8.0,9.0,8.0,7.0,7.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0
newtoncartan,11.0,11.0,12.0,12.0,12.0,12.0,12.0,13.0,11.0,11.0,11.0,11.0,11.0,14.0,14.0,12.0,10.0,9.0,10.0,10.0,10.0,9.0,6.0,6.0,6.0,6.0
cv,9.0,9.0,9.0,9.0,7.0,7.0,11.0,12.0,11.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,8.0,8.0,8.0,6.0,6.0,6.0,6.0
hitchin,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,10.0,9.0,8.0,8.0,7.0,7.0,7.0,8.0,8.0,8.0,7.0,8.0,8.0,6.0,6.0,6.0,6.0
endpoints,8.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,8.0,8.0,9.0,9.0,9.0,10.0,11.0,9.0,8.0,7.0,6.0,6.0,6.0,6.0
gft,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,13.0,13.0,13.0,13.0,13.0,12.0,12.0,12.0,12.0,12.0,12.0,6.0,6.0,6.0,6.0,6.0
ss,8.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,6.0,6.0,6.0,6.0,6.0,9.0,10.0,6.0,6.0,6.0,6.0,6.0
xy,6.0,6.0,6.0,6.0,7.0,7.0,6.0,6.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,9.0,10.0,10.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0
versa,10.0,10.0,10.0,10.0,10.0,9.0,9.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0
twobody,9.0,9.0,9.0,8.0,8.0,8.0,7.0,9.0,9.0,9.0,9.0,9.0,8.0,8.0,6.0,7.0,8.0,8.0,6.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0
einsteinmaxwelldilaton,6.0,6.0,7.0,7.0,7.0,7.0,8.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0
nonriemannian,7.0,7.0,7.0,7.0,6.0,6.0,6.0,5.0,5.0,7.0,7.0,7.0,7.0,9.0,9.0,9.0,5.0,5.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0
transplanckian,5.0,6.0,6.0,5.0,6.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0
parityodd,6.0,5.0,5.0,5.0,5.0,6.0,7.0,7.0,9.0,9.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
linearised,6.0,6.0,6.0,5.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0
kms,10.0,10.0,10.0,10.0,10.0,10.0,6.0,6.0,6.0,6.0,6.0,4.0,8.0,8.0,8.0,7.0,7.0,7.0,4.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0
matterdominated,6.0,6.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,6.0,6.0,6.0,6.0,6.0,6.0
subluminal,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,14.0,14.0,15.0,15.0,10.0,10.0,10.0,10.0,10.0,10.0,4.0,6.0,6.0,6.0,6.0,6.0
nonbps,10.0,10.0,10.0,10.0,9.0,8.0,9.0,8.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0,7.0,6.0,6.0,5.0,4.0,4.0,6.0,6.0,6.0,6.0,6.0
extradimensional,7.0,7.0,7.0,7.0,6.0,6.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,6.0
superstrings,8.0,9.0,10.0,10.0,10.0,10.0,9.0,9.0,9.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,7.0,7.0,7.0,7.0,8.0,7.0,5.0,6.0,6.0,6.0
heavyion,10.0,10.0,10.0,10.0,9.0,10.0,11.0,10.0,10.0,10.0,10.0,10.0,9.0,8.0,7.0,7.0,8.0,7.0,8.0,8.0,6.0,6.0,5.0,6.0,6.0,6.0
coarsegraining,5.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0,7.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0
bunchdavies,4.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,7.0,5.0,5.0,6.0,6.0
batalinvilkovisky,5.0,5.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,8.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,6.0,6.0
semiinfinite,5.0,5.0,5.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,3.0,6.0,6.0
ryutakayanagi,23.0,23.0,22.0,21.0,21.0,21.0,22.0,22.0,21.0,16.0,15.0,13.0,13.0,13.0,13.0,12.0,13.0,13.0,13.0,13.0,12.0,11.0,11.0,10.0,5.0,6.0
dyson,5.0,5.0,5.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0,4.0,5.0,6.0
ultracold,12.0,9.0,9.0,8.0,8.0,9.0,8.0,8.0,9.0,9.0,9.0,9.0,8.0,8.0,8.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,5.0,6.0
fieldtheoretic,7.0,7.0,7.0,7.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,5.0,4.0,5.0,6.0
nsns,17.0,17.0,17.0,15.0,17.0,17.0,14.0,14.0,13.0,11.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,4.0,6.0
bekenstein,15.0,14.0,15.0,12.0,11.0,11.0,11.0,11.0,11.0,10.0,10.0,10.0,9.0,9.0,9.0,9.0,7.0,7.0,7.0,8.0,7.0,6.0,6.0,4.0,4.0,6.0
coarsegrained,9.0,10.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0,9.0,9.0,8.0,8.0,8.0,7.0,6.0,5.0,4.0,4.0,6.0
spinspin,7.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,3.0,3.0,3.0,3.0,3.0,3.0,6.0
ns,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,7.0,7.0,8.0,8.0,8.0,8.0,9.0,9.0,7.0,7.0,7.0,5.0
hamiltonjacobi,9.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,8.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,7.0,7.0,7.0,7.0,5.0
vafa,8.0,8.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,9.0,9.0,8.0,8.0,8.0,7.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,7.0,7.0,7.0,5.0
multicritical,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,10.0,10.0,10.0,11.0,12.0,12.0,12.0,12.0,13.0,9.0,9.0,6.0,5.0
finitesize,11.0,11.0,10.0,12.0,12.0,10.0,10.0,8.0,8.0,9.0,9.0,9.0,9.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,7.0,6.0,6.0,6.0,5.0
fayetiliopoulos,11.0,11.0,10.0,9.0,9.0,9.0,10.0,9.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,7.0,8.0,8.0,8.0,9.0,9.0,6.0,6.0,6.0,6.0,5.0
finsler,8.0,8.0,8.0,8.0,8.0,8.0,10.0,10.0,10.0,10.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,7.0,8.0,8.0,8.0,5.0,5.0
twoparameter,8.0,8.0,8.0,8.0,8.0,9.0,9.0,8.0,8.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,7.0,6.0,5.0,5.0
superparticle,7.0,7.0,8.0,10.0,10.0,10.0,10.0,11.0,10.0,10.0,9.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,7.0,7.0,7.0,6.0,5.0,5.0
higgsing,9.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,7.0,8.0,11.0,11.0,11.0,10.0,10.0,10.0,9.0,9.0,8.0,8.0,9.0,8.0,6.0,6.0,5.0,5.0
luttinger,7.0,7.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,7.0,6.0,6.0,5.0,5.0
supermassive,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,8.0,7.0,7.0,7.0,7.0,7.0,6.0,7.0,7.0,6.0,6.0,6.0,5.0,5.0
schroedinger,7.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0,9.0,9.0,9.0,7.0,8.0,7.0,7.0,6.0,6.0,6.0,6.0,5.0,5.0
qubit,7.0,7.0,7.0,6.0,6.0,6.0,8.0,8.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,5.0,5.0
petrov,6.0,6.0,6.0,7.0,7.0,7.0,7.0,6.0,6.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,6.0,6.0,5.0,5.0
nahm,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,8.0,5.0,5.0,5.0
